RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,Phys1Grade,PhysicsITimes,P1_PrevGrade
516,MALE,2021,Black,3107,2.74,0,0,SAT,490,560,1,D,1,C,1,N
517,FEMALE,2021,White,3115,3.9,3.85,4,SAT,760,720,0,,,H,1,N
518,MALE,2021,White,3213,3.66,3.83,4,ACT,730,780,0,,,A,1,N
519,MALE,2021,TwoOrMore,3111,3.09,3.73,4,ACT,700,780,1,B+,3.3,B,1,N
520,MALE,2021,White,3111,3.72,4,4,SAT,640,590,1,B+,3.3,A-,1,N
521,FEMALE,2021,White,3115,3.95,4,4,ACT,790,790,0,,,,0,N
522,MALE,2021,Hispanic,3111,3.04,3.74,4,SAT,690,640,1,B,3,A-,1,N
523,FEMALE,2021,White,3111,3.25,3.9,4,ACT,650,740,1,B,3,B,1,N
524,MALE,2021,Black,3111,3.66,0,0,ACT,600,580,1,A,4,B+,1,N
525,MALE,2021,White,3111,2.73,86.78,100,SAT,670,590,2,D,1,C,1,N
526,FEMALE,2021,White,3115,3.26,3.59,4,ACT,600,600,0,,,B+,1,N
527,MALE,2021,Hispanic,3111,2.6,3.57,4,SAT,600,630,1,B,3,C+,1,N
528,FEMALE,2021,Hispanic,3111,3.12,0,0,SAT,630,650,1,C,2,C+,1,N
529,MALE,2021,White,3111,2.87,3.98,4,ACT,660,660,1,C+,2.3,B,1,N
530,MALE,2021,White,3111,3.34,3.6,4,SAT,600,590,1,A,4,B+,1,N
531,MALE,2021,Asian,3107,3.51,0,0,SAT,550,550,1,A-,3.7,H,1,N
532,MALE,2021,White,3115,3.16,3.42,4,SAT,650,510,0,,,A,1,N
533,MALE,2021,White,3111,3.26,3.98,4,SAT,690,680,1,B+,3.3,A-,1,N
534,MALE,2021,White,3111,2.95,3.88,4,ACT,630,740,1,B,3,B-,1,N
535,FEMALE,2021,,3213,3.86,3.19,4,ACT,460,490,0,,,,0,N
536,FEMALE,2021,Hispanic,3107,3.17,3.81,4,SAT,570,600,1,B-,2.7,C+,1,N
537,FEMALE,2021,TwoOrMore,3115,3.57,4,4,SAT,740,670,0,,,A,1,N
