RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,PhysicsITimes
1549,Male,2025,White,3115,3.88,97.6,100,SAT,790,700,0,,,0
1550,Male,2025,TwoOrMore,3115,3.41,0,0,SAT,770,500,0,,,1
1551,Female,2025,White,3107,3,0,0,SAT,560,590,1,C,2,1
1552,Male,2025,White,3111,3.34,0,0,SAT,660,610,1,B+,3.3,1
1553,Female,2025,TwoOrMore,3111,3.84,4,4,SAT,690,760,1,A-,3.7,1
1554,Male,2025,Hispanic,3115,3.4,3.87,4,SAT,740,610,0,,,1
1555,Male,2025,White,3107,3.16,3.66,4,SAT,610,670,1,C+,2.3,1
1556,Male,2025,White,3107,2.63,3.57,4,SAT,610,600,1,C+,2.3,1
1557,Female,2025,White,3111,3.22,3.96,4,SAT,0,0,1,C,2,1
1558,Male,2025,White,3107,2.64,0,0,ACT,600,560,1,D,1,1
1559,Male,2025,White,3111,2.85,3.96,4,SAT,730,670,1,B,3,1
1560,Female,2025,White,3107,2.46,93.7,100,SAT,630,640,1,D,1,1
1561,Male,2025,White,3111,2.87,3.71,4,SAT,650,610,1,B-,2.7,1
1562,Male,2025,TwoOrMore,3111,2.83,3.77,4,SAT,670,610,1,B,3,1
1563,FEMALE,2025,Hispanic,3111,3.04,0,0,ACT,610,600,1,A,4,1
1564,Male,2025,White,3111,3.43,3.97,4,ACT,680,660,1,B,3,1
1565,Female,2025,White,3111,3.37,4,4,ACT,670,710,1,A-,3.7,1
1566,Male,2025,White,3111,3.17,4,4,SAT,630,700,1,C+,2.3,1
1567,Female,2025,White,3107,2.61,3.77,4,SAT,650,660,1,B,3,1
1568,Female,2025,White,3115,3.04,4,4,SAT,600,650,0,,,1
1569,Male,2025,White,3115,3.7,3.86,4,SAT,650,570,0,,,1
1570,Male,2025,Hispanic,3111,3.51,4,4,ACT,740,740,1,A-,3.7,1
1571,Male,2025,White,3115,4,3.89,4,ACT,760,800,0,,,0
1572,FEMALE,2025,White,3211,3.98,4,4,SAT,730,780,0,,,1
1573,FEMALE,2025,White,3111,3.76,0,0,SAT,540,620,1,A,4,1
1574,Female,2025,White,3107,2.83,3.96,4,SAT,600,670,1,B-,2.7,1
1575,Male,2025,Hispanic,3115,3.4,95.95,100,SAT,710,680,0,,,1
